what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1416297159529
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416297159530
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1416297159545
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1416297159581
os,sysinfo,,,"win32",1416297159586
arch,sysinfo,,,"x86",1416297159586
ws,sysinfo,,,"win32",1416297159586
locale,sysinfo,,,"fr_FR",1416297159586
processors,sysinfo,,,"8",1416297159586
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416297159586
java.runtime.version,sysinfo,,,"1.7.0-b147",1416297159586
java.specification.name,sysinfo,,,"Java Platform API Specification",1416297159586
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416297159586
java.specification.version,sysinfo,,,"1.7",1416297159586
java.vendor,sysinfo,,,"Oracle Corporation",1416297159586
java.version,sysinfo,,,"1.7.0",1416297159586
java.vm.info,sysinfo,,,"mixed mode, sharing",1416297159586
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416297159586
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416297159586
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416297159586
java.vm.specification.version,sysinfo,,,"1.7",1416297159586
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416297159586
java.vm.version,sysinfo,,,"21.0-b17",1416297159586
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1416297159623
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416297159677
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1416297159773
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1416297159852
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1416297160170
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1416297160367
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1416297160675
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1416297160757
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1416297160770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416297161861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416297185292
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416297195751
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416297217672
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416297217738
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416297217814
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1416297218822
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1416297218845
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416297238284
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416297238344
